submission1_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1_s918237454,2,0,1,1,1,1,1
2_s293915255,2,1,1,1,1,1,1
3_s231820315,2,0,1,0,1,1,1
4_s302245909,2,0,0,0,1,1,1
5_s251761174,2,1,1,1,1,1,1
6_s152544099,0,0,0,0,1,0,0
7_s675601682,2,1,1,1,1,1,1
8_s643369443,2,0,1,1,1,1,1
9_s620128204,0,1,1,1,1,1,1
10_s885212911,2,0,1,1,1,0,1
11_s733909107,2,0,1,0,1,0,0
12_s871152411,2,0,0,0,0,1,1
13_s568910407,0,1,1,1,1,1,1
14_s911472974,2,0,1,1,1,1,1
15_s683431180,2,0,1,0,1,1,1
16_s776742151,0,1,0,1,0,0,1
17_s502606845,2,0,0,0,1,1,1
18_s930111637,2,0,0,0,1,1,1
19_s341856305,2,1,1,1,1,1,1
20_s232388254,2,0,1,1,1,1,1
21_s847049129,2,0,1,1,1,1,1
22_s874811528,2,1,0,0,1,1,1
23_s059049459,2,1,1,1,1,1,1
24_s252525406,2,1,1,1,1,1,1
25_s073846843,2,1,1,1,1,1,1
26_s238116946,2,0,1,1,1,1,1
27_s039407328,2,0,1,1,1,1,1
28_s355103432,2,0,1,1,1,1,1
29_s406762427,2,0,1,1,1,1,1
30_s821722284,1,1,1,1,1,1,1
31_s549709070,2,0,1,1,1,1,1
32_s213301268,2,0,1,1,1,1,1
33_s220690653,0,1,1,1,1,1,1
34_s701455186,0,1,0,1,1,0,1
35_s113138591,2,1,1,1,1,1,1
36_s703840520,2,0,1,1,1,1,1
37_s868027988,2,0,1,0,0,1,1
38_s703248447,0,1,1,1,1,1,1
39_s604395317,0,0,0,0,1,0,0
40_s481632788,2,0,0,0,1,1,1
41_s940490218,0,1,1,1,1,1,1
42_s302652555,2,1,1,1,1,1,1
43_s724831910,2,1,1,1,1,1,1
44_s868645901,0,0,0,0,0,0,0
45_s602736263,2,1,1,1,1,1,1
46_s028386806,1,1,1,1,1,0,0
47_s237525316,0,1,0,0,1,0,0
48_s306795269,0,1,1,1,1,1,1
49_s008316601,2,1,1,0,1,1,1
50_s047812315,0,1,1,1,1,1,1
51_s505491395,2,0,0,0,1,0,1
52_s848168883,0,1,1,1,1,1,1
53_s750065104,2,0,0,0,1,1,1
54_s040795031,2,0,1,0,1,1,1
55_s695408269,2,0,1,0,1,1,1
56_s247145139,0,1,1,1,1,1,1
57_s594644708,1,1,1,0,1,1,1
58_s028676556,2,0,1,0,1,1,1
59_s054307587,0,1,1,1,1,1,1
60_s999323619,2,1,1,1,1,1,1
61_s571426162,2,1,1,1,1,1,1
62_s332147599,2,0,1,1,1,1,1
63_s913774491,2,0,1,1,1,1,1
64_s430597677,0,1,1,0,1,1,0
65_s646624169,0,0,0,0,0,0,0
66_s593502386,2,1,1,1,1,1,1
67_s658643409,2,0,0,1,1,1,1
68_s536828572,0,1,1,1,1,1,1
69_s263211116,0,1,1,1,1,1,1
70_s068872313,2,0,1,1,1,1,1
71_s930243415,2,0,1,0,0,1,1
72_s278686560,2,0,1,1,1,1,1
73_s460723019,0,1,1,1,1,1,1
74_s907708804,0,1,1,1,1,1,1
75_s284671020,2,1,1,0,1,1,1
76_s531289077,0,1,1,1,1,1,1
77_s919203045,2,0,1,1,1,1,1
78_s888617582,2,1,0,0,1,0,0
79_s130099978,2,1,1,0,1,1,1
80_s238896185,2,0,0,0,1,1,1
81_s015429141,2,0,1,0,1,1,1
82_s145029572,2,1,0,0,1,1,1
83_s642874323,0,1,1,1,1,1,1
84_s655410722,2,0,0,0,1,1,1
85_s864034470,0,0,0,0,0,0,0
86_s167233001,2,1,1,1,1,1,1
87_s419095534,2,0,0,1,0,1,1
88_s571689901,2,0,0,0,1,1,1
89_s128842224,2,0,0,0,1,1,1
90_s188607031,2,0,1,1,1,1,1
91_s723755036,0,1,1,1,1,1,1
92_s096942121,0,0,0,0,0,0,0
93_s261624434,2,1,0,1,1,1,1
94_s239420183,2,0,1,1,1,1,1
95_s737418505,2,1,1,0,1,1,1
96_s879255025,2,0,0,0,1,1,1
97_s193501930,0,0,0,0,0,0,0
98_s418882082,2,1,1,0,1,1,1
99_s861904966,2,1,1,1,1,1,1
100_s241914799,0,1,0,0,1,0,0
101_s075615060,0,0,0,0,0,0,0
102_s579245405,0,0,0,0,0,0,0
103_s005534087,2,1,0,0,1,1,1
104_s596836110,2,0,1,1,1,1,1
105_s668552665,2,0,1,1,1,1,1
106_s118468146,2,1,1,1,1,1,1
107_s561353059,2,0,0,0,1,1,1
108_s055747935,2,0,0,0,1,1,1
109_s203194475,2,0,1,0,1,1,1
110_s459165530,0,0,1,1,0,1,1
111_s727003607,0,1,1,1,1,1,1
112_s044587225,2,1,1,1,1,1,1
113_s303174948,2,1,0,1,1,1,1
114_s377065541,2,0,1,1,1,1,1
